population,population_label,n_samples_responders,n_samples_non_responders,n_subjects_responders,n_subjects_non_responders,hodges_lehmann_shift,u_statistic,rank_biserial,p_value,q_value,significant
b_cell,B cell,993,975,331,325,-0.2760533791441748,459971.0,-0.04981847290004393,0.055702309738266245,0.1392557743456656,False
cd8_t_cell,CD8+ T cell,993,975,331,325,-0.09906158215603966,478176.0,-0.012211635293206236,0.6390858847346418,0.6390858847346418,False
cd4_t_cell,CD4+ T cell,993,975,331,325,0.5730294967759306,515276.0,0.06442740207090658,0.013344218813937624,0.06672109406968812,False
nk_cell,NK cell,993,975,331,325,-0.2815479776517762,464546.0,-0.040367702119967985,0.1210507982042857,0.20175133034047618,False
monocyte,Monocyte,993,975,331,325,-0.27520224632911905,466510.0,-0.03631058434683809,0.16315013268752876,0.20393766585941095,False
