population,population_label,converged,n_observations,n_subjects,responder_effect,responder_std_error,responder_p_value,interaction_effect,interaction_std_error,interaction_ci_lower,interaction_ci_upper,interaction_p_value,variance_between_subjects,variance_residual,model_intraclass_correlation,responder_q_value,interaction_q_value,interaction_significant
b_cell,B cell,True,1968,656,0.23093637080383272,0.22948877029642858,0.31426746407335004,-0.06138620970122379,0.02539446243987911,-0.111158441490142,-0.01161397791230559,0.015635826985465475,2.0195164850715433e-09,10.363623782487887,1.9486586227594652e-10,0.5660559678938438,0.07817913492732738,False
cd8_t_cell,CD8+ T cell,True,1968,656,-0.20350817606325602,0.33338404579106695,0.5415759018074742,0.020216487662050336,0.03689116734746526,-0.052088871686621616,0.09252184701072229,0.5836895212474448,2.22414196801968e-09,21.87149081963826,1.0169137468198841e-10,0.6769698772593427,0.5836895212474448,False
cd4_t_cell,CD4+ T cell,True,1968,656,0.3414245954613081,0.3575540372402413,0.33963358073630634,0.04201742430495709,0.039565738014053345,-0.03552999722433479,0.11956484583424898,0.2882516281402071,3.357324279545478e-08,25.157769459095565,1.3345079262785325e-09,0.5660559678938438,0.5809899538255743,False
nk_cell,NK cell,True,1968,656,-0.05103849651547537,0.28184026937218754,0.856296816331817,-0.025883349610096047,0.031187504842941638,-0.08700973586993017,0.035243036649738074,0.4065801076446155,1.5784796895331564e-09,15.631291132407604,1.0098204147072485e-10,0.856296816331817,0.5809899538255743,False
monocyte,Monocyte,True,1968,656,-0.31781429368766156,0.3095111673779227,0.3045021307181285,0.025035647344458668,0.03424947418992917,-0.04209208855723666,0.09216338324615399,0.46479196306045945,1.8972087992702393e-09,18.851304474900054,1.0064071701803868e-10,0.5660559678938438,0.5809899538255743,False
